Token,Strategy,TF,PF,WR%,Trades,MaxDD%,NetPft%,Status
RENDER,Supertrend,4H,0.64,27.0,37,60.3,-55.1,"FAIL (PF 0.64, WR 27.0%, DD 60.3%, NP -55.1%)"
SOL,Donchian,4H,0.58,24.6,61,60.2,-57.0,"FAIL (PF 0.58, WR 24.6%, DD 60.2%, NP -57.0%)"
ETH,Donchian,4H,1.05,32.7,55,28.0,5.0,FAIL (PF 1.05)
JTO,Donchian,4H,0.28,19.6,56,99.7,-99.7,"FAIL (PF 0.28, WR 19.6%, DD 99.7%, NP -99.7%)"
WIF,Donchian,4H,0.33,23.7,59,86.6,-86.9,"FAIL (PF 0.33, WR 23.7%, DD 86.6%, NP -86.9%)"
BONK,Donchian,4H,1.05,30.6,49,40.0,12.5,"FAIL (PF 1.05, DD 40.0%)"
ORCA,Donchian,4H,0.02,10.2,49,100.0,-100.0,"FAIL (PF 0.02, WR 10.2%, DD 100.0%, NP -100.0%)"
RENDER,Donchian,4H,0.88,37.5,56,32.0,-17.5,"FAIL (PF 0.88, NP -17.5%)"
SOL,EMA Ribbon,4H,0.90,31.4,118,46.1,-21.3,"FAIL (PF 0.90, DD 46.1%, NP -21.3%)"
ETH,EMA Ribbon,4H,0.80,27.9,122,42.7,-36.9,"FAIL (PF 0.80, WR 27.9%, DD 42.7%, NP -36.9%)"
JTO,EMA Ribbon,4H,0.42,25.3,83,98.8,-98.7,"FAIL (PF 0.42, WR 25.3%, DD 98.8%, NP -98.7%)"
WIF,EMA Ribbon,4H,0.59,28.5,123,76.1,-76.1,"FAIL (PF 0.59, WR 28.5%, DD 76.1%, NP -76.1%)"
BONK,EMA Ribbon,4H,0.97,29.2,130,61.3,-13.5,"FAIL (PF 0.97, WR 29.2%, DD 61.3%, NP -13.5%)"
ORCA,EMA Ribbon,4H,0.01,7.9,63,100.0,-100.0,"FAIL (PF 0.01, WR 7.9%, DD 100.0%, NP -100.0%)"
RENDER,EMA Ribbon,4H,0.76,21.7,138,63.7,-59.8,"FAIL (PF 0.76, WR 21.7%, DD 63.7%, NP -59.8%)"
SOL,VWAP Dev,4H,1.46,70.0,90,28.1,63.1,PASS
ETH,VWAP Dev,4H,0.60,60.0,75,58.5,-44.8,"FAIL (PF 0.60, DD 58.5%, NP -44.8%)"
JTO,VWAP Dev,4H,2.94,55.3,47,33.4,418.8,PASS
WIF,VWAP Dev,4H,1.20,67.9,78,53.0,42.4,"FAIL (PF 1.20, DD 53.0%)"
BONK,VWAP Dev,4H,0.83,66.7,87,61.8,-30.5,"FAIL (PF 0.83, DD 61.8%, NP -30.5%)"
ORCA,VWAP Dev,4H,1.78,35.4,48,42.1,181.3,FAIL (DD 42.1%)
RENDER,VWAP Dev,4H,0.86,63.6,77,52.9,-26.0,"FAIL (PF 0.86, DD 52.9%, NP -26.0%)"
SOL,Stoch RSI,4H,0.98,57.5,80,59.4,-3.6,"FAIL (PF 0.98, DD 59.4%, NP -3.6%)"
ETH,Stoch RSI,4H,0.96,59.5,74,51.7,-6.6,"FAIL (PF 0.96, DD 51.7%, NP -6.6%)"
JTO,Stoch RSI,4H,1.10,52.5,40,69.0,23.4,"FAIL (PF 1.10, DD 69.0%)"
WIF,Stoch RSI,4H,1.24,69.6,79,69.4,172.8,"FAIL (PF 1.24, DD 69.4%)"
BONK,Stoch RSI,4H,0.73,55.7,70,62.4,-52.5,"FAIL (PF 0.73, DD 62.4%, NP -52.5%)"
ORCA,Stoch RSI,4H,2.25,69.2,13,19.8,115.6,FAIL (13 trades)
RENDER,Stoch RSI,4H,0.91,62.2,74,79.0,-36.6,"FAIL (PF 0.91, DD 79.0%, NP -36.6%)"
