strategy,token,timeframe,sl_mult,tp_mult,pf,win_rate,trades,max_dd,net_profit,sharpe,avg_rr,score,passed,reject_reason
Mean Rev,SOL,1H,1.0,1.5,0.93,54.9,51,28.7,-5.4,-0.04,1.11,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,2.0,0.88,49.0,51,29.1,-9.1,-0.09,1.05,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,2.5,0.93,49.0,51,27.6,-5.4,-0.04,1.09,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,3.0,1.02,50.0,50,26.1,1.2,0.05,1.12,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,4.0,1.02,50.0,50,27.1,1.9,0.06,1.13,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.0,5.0,1.02,50.0,50,28.6,1.7,0.05,1.13,0.0,False,max_dd>=25.0
Mean Rev,SOL,1H,1.25,1.5,1.22,64.0,50,22.7,12.1,0.21,1.04,1.22,True,
Mean Rev,SOL,1H,1.25,2.0,1.1,54.0,50,21.9,5.6,0.11,0.96,1.1,True,
Mean Rev,SOL,1H,1.25,2.5,1.15,54.0,50,20.7,9.0,0.16,0.99,1.15,True,
Mean Rev,SOL,1H,1.25,3.0,1.28,55.1,49,19.4,15.6,0.25,1.02,1.28,True,
Mean Rev,SOL,1H,1.25,4.0,1.29,55.1,49,20.2,16.2,0.25,1.03,1.29,True,
Mean Rev,SOL,1H,1.25,5.0,1.29,55.1,49,21.5,16.0,0.25,1.02,1.29,True,
Mean Rev,SOL,1H,1.5,2.0,1.12,55.1,49,18.9,6.4,0.13,0.9,1.12,True,
Mean Rev,SOL,1H,1.5,2.5,1.18,55.1,49,17.8,9.2,0.17,0.92,1.18,True,
Mean Rev,SOL,1H,1.5,3.0,1.3,56.2,48,16.6,15.0,0.26,0.95,1.3,True,
Mean Rev,SOL,1H,1.5,4.0,1.31,56.2,48,17.3,15.6,0.26,0.95,1.31,True,
Mean Rev,SOL,1H,1.5,5.0,1.31,56.2,48,18.5,15.4,0.26,0.95,1.31,True,
Mean Rev,SOL,1H,2.0,2.5,1.18,55.6,45,15.8,7.1,0.16,0.83,1.18,True,
Mean Rev,SOL,1H,2.0,3.0,1.26,56.8,44,14.9,9.7,0.21,0.87,1.26,True,
Mean Rev,SOL,1H,2.0,4.0,1.29,56.8,44,15.4,11.2,0.23,0.88,1.29,True,
Mean Rev,SOL,1H,2.0,5.0,1.29,56.8,44,16.3,11.1,0.23,0.88,1.29,True,
Mean Rev,SOL,1H,2.5,3.0,1.13,58.1,43,14.7,4.1,0.11,0.78,1.13,True,
Mean Rev,SOL,1H,2.5,4.0,1.16,58.1,43,15.2,5.2,0.14,0.79,1.16,True,
Mean Rev,SOL,1H,2.5,5.0,1.16,58.1,43,15.9,5.1,0.14,0.79,1.16,True,
Mean Rev,ETH,1H,1.0,1.5,1.61,64.3,70,30.7,70.7,0.64,1.09,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.0,2.0,1.61,61.4,70,30.0,73.5,0.64,1.1,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.0,2.5,1.66,61.4,70,29.3,81.0,0.67,1.13,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.0,3.0,1.58,60.0,70,29.6,71.6,0.61,1.12,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.0,4.0,1.61,60.0,70,29.6,76.8,0.63,1.14,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.0,5.0,1.64,60.0,70,29.6,80.7,0.64,1.15,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.25,1.5,1.53,65.7,70,28.6,45.1,0.53,1.04,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.25,2.0,1.49,61.4,70,28.0,45.7,0.52,1.06,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.25,2.5,1.57,61.4,70,27.4,55.6,0.58,1.11,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.25,3.0,1.53,60.0,70,27.6,53.2,0.55,1.13,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.25,4.0,1.63,60.0,70,27.6,67.0,0.62,1.19,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.25,5.0,1.66,60.0,70,27.6,72.5,0.64,1.21,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.5,2.0,1.55,61.8,68,26.6,38.8,0.51,0.97,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.5,2.5,1.63,61.8,68,26.1,46.7,0.57,1.01,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.5,3.0,1.58,60.3,68,26.6,44.3,0.54,1.03,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.5,4.0,1.68,60.3,68,26.3,55.2,0.61,1.08,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,1.5,5.0,1.72,60.3,68,26.3,59.5,0.62,1.1,0.0,False,max_dd>=25.0
Mean Rev,ETH,1H,2.0,2.5,1.62,62.1,66,19.4,32.4,0.52,0.85,1.62,True,
Mean Rev,ETH,1H,2.0,3.0,1.57,60.6,66,19.2,31.3,0.5,0.87,1.57,True,
Mean Rev,ETH,1H,2.0,4.0,1.66,60.6,66,19.9,37.3,0.55,0.9,1.66,True,
Mean Rev,ETH,1H,2.0,5.0,1.69,60.6,66,19.9,40.2,0.57,0.92,1.69,True,
Mean Rev,ETH,1H,2.5,3.0,1.48,61.9,63,17.1,21.4,0.42,0.76,1.48,True,
Mean Rev,ETH,1H,2.5,4.0,1.59,61.9,63,17.2,26.9,0.49,0.8,1.59,True,
Mean Rev,ETH,1H,2.5,5.0,1.65,61.9,63,17.2,30.0,0.52,0.82,1.65,True,
Mean Rev,JTO,1H,1.0,1.5,0.68,60.4,48,68.7,-51.3,-0.19,0.83,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.0,2.0,0.7,58.3,48,66.5,-48.3,-0.16,0.91,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.0,2.5,0.74,58.3,48,64.1,-43.5,-0.12,1.01,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.0,3.0,0.77,58.3,48,61.5,-38.3,-0.09,1.1,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.0,4.0,0.85,58.3,48,56.5,-27.5,-0.01,1.27,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.0,5.0,0.9,58.3,48,53.9,-19.6,0.03,1.39,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.25,1.5,0.65,59.6,47,61.9,-44.9,-0.22,0.73,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.25,2.0,0.67,57.4,47,59.7,-42.2,-0.19,0.8,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.25,2.5,0.71,57.4,47,57.4,-37.9,-0.16,0.87,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.25,3.0,0.75,57.4,47,55.0,-33.3,-0.12,0.95,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.25,4.0,0.83,57.4,47,50.3,-24.0,-0.05,1.09,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.25,5.0,0.88,57.4,47,48.2,-17.3,-0.0,1.19,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.5,2.0,0.7,57.4,47,50.8,-32.6,-0.17,0.73,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.5,2.5,0.75,57.4,47,48.1,-28.0,-0.13,0.8,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.5,3.0,0.8,59.6,47,45.2,-23.1,-0.08,0.87,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.5,4.0,0.89,59.6,47,39.7,-13.0,-0.01,1.0,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,1.5,5.0,0.96,59.6,47,36.7,-5.4,0.05,1.09,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,2.0,2.5,0.72,56.5,46,37.2,-22.7,-0.15,0.66,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,2.0,3.0,0.78,58.7,46,34.6,-18.7,-0.11,0.71,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,2.0,4.0,0.88,58.7,46,29.6,-10.8,-0.03,0.81,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,2.0,5.0,0.95,58.7,46,26.6,-4.9,0.02,0.88,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,2.5,3.0,0.78,58.7,46,29.5,-15.3,-0.11,0.62,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,2.5,4.0,0.88,58.7,46,25.2,-8.8,-0.04,0.7,0.0,False,max_dd>=25.0
Mean Rev,JTO,1H,2.5,5.0,0.95,58.7,46,22.5,-3.9,0.01,0.75,0.0,False,unprofitable
Mean Rev,WIF,1H,1.0,1.5,0.76,55.3,85,69.5,-54.5,-0.28,1.11,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.0,2.0,0.81,54.8,84,66.4,-47.8,-0.21,1.2,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.0,2.5,0.82,54.2,83,67.9,-46.0,-0.2,1.29,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.0,3.0,0.86,54.2,83,66.7,-38.7,-0.14,1.36,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.0,4.0,0.94,54.2,83,63.3,-19.1,0.0,1.53,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.0,5.0,1.01,55.4,83,62.5,4.4,0.12,1.69,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.25,1.5,0.73,54.9,82,62.7,-48.3,-0.32,1.05,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.25,2.0,0.78,54.3,81,58.9,-41.3,-0.24,1.15,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.25,2.5,0.8,56.2,80,60.4,-39.9,-0.24,1.24,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.25,3.0,0.85,56.2,80,58.8,-31.2,-0.15,1.32,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.25,4.0,0.96,56.2,80,54.7,-9.4,0.02,1.49,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.25,5.0,1.06,57.5,80,50.2,16.7,0.17,1.65,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.5,2.0,0.78,55.7,79,51.3,-35.5,-0.25,1.06,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.5,2.5,0.78,57.7,78,52.6,-34.9,-0.24,1.14,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.5,3.0,0.84,57.7,78,51.0,-27.4,-0.16,1.21,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.5,4.0,0.96,57.7,78,47.0,-7.3,0.01,1.37,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,1.5,5.0,1.07,59.0,78,44.1,16.2,0.16,1.51,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,2.0,2.5,0.72,57.3,75,46.8,-34.0,-0.32,0.98,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,2.0,3.0,0.77,57.3,75,44.3,-29.1,-0.26,1.04,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,2.0,4.0,0.89,57.3,75,38.7,-15.2,-0.09,1.16,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,2.0,5.0,1.0,58.7,75,36.2,0.6,0.06,1.27,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,2.5,3.0,0.79,60.0,75,36.1,-22.1,-0.22,0.91,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,2.5,4.0,0.92,60.0,75,31.9,-9.4,-0.06,1.02,0.0,False,max_dd>=25.0
Mean Rev,WIF,1H,2.5,5.0,1.04,61.3,75,30.8,4.8,0.09,1.11,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.0,1.5,0.92,59.3,54,32.5,-7.2,-0.03,1.17,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.0,2.0,1.03,57.4,54,30.7,2.8,0.07,1.26,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.0,2.5,1.19,59.3,54,27.8,16.3,0.19,1.38,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.0,3.0,1.23,61.1,54,27.0,20.2,0.22,1.41,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.0,4.0,1.3,60.4,53,26.1,26.6,0.26,1.48,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.0,5.0,1.39,60.4,53,24.0,36.7,0.32,1.55,1.39,True,
Mean Rev,BONK,1H,1.25,1.5,0.87,57.7,52,30.3,-9.4,-0.09,1.07,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.25,2.0,0.98,55.8,52,29.3,-1.7,0.01,1.15,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.25,2.5,1.12,59.6,52,27.5,8.6,0.13,1.24,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.25,3.0,1.17,61.5,52,27.5,11.5,0.16,1.27,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.25,4.0,1.23,60.8,51,27.9,16.3,0.21,1.33,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.25,5.0,1.32,60.8,51,27.7,22.8,0.27,1.38,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.5,2.0,0.96,55.8,52,27.2,-2.5,-0.0,1.07,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.5,2.5,1.09,59.6,52,25.7,5.9,0.11,1.14,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.5,3.0,1.13,61.5,52,25.7,8.3,0.14,1.17,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.5,4.0,1.19,60.8,51,26.1,12.2,0.18,1.22,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,1.5,5.0,1.27,60.8,51,26.1,17.5,0.23,1.26,0.0,False,max_dd>=25.0
Mean Rev,BONK,1H,2.0,2.5,1.06,58.8,51,23.4,3.3,0.08,1.0,1.06,True,
Mean Rev,BONK,1H,2.0,3.0,1.09,60.8,51,23.3,5.0,0.1,1.02,1.09,True,
Mean Rev,BONK,1H,2.0,4.0,1.27,62.0,50,19.3,14.6,0.23,1.08,1.27,True,
Mean Rev,BONK,1H,2.0,5.0,1.34,62.0,50,19.1,18.9,0.28,1.12,1.34,True,
Mean Rev,BONK,1H,2.5,3.0,1.24,62.7,51,18.4,10.8,0.2,0.92,1.24,True,
Mean Rev,BONK,1H,2.5,4.0,1.43,64.0,50,14.9,19.5,0.32,0.97,1.43,True,
Mean Rev,BONK,1H,2.5,5.0,1.5,64.0,50,14.8,23.0,0.36,1.0,1.5,True,
Mean Rev,ORCA,1H,1.0,1.5,0.16,30.0,30,149.1,-146.5,-0.25,0.94,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.0,2.0,0.18,30.0,30,150.6,-148.9,-0.24,1.02,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.0,2.5,0.19,30.0,30,152.1,-151.4,-0.23,1.1,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.0,3.0,0.2,30.0,30,154.0,-154.0,-0.22,1.19,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.0,4.0,0.22,30.0,30,159.5,-159.5,-0.2,1.35,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.0,5.0,0.24,30.0,30,163.0,-165.5,-0.18,1.52,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.25,1.5,0.13,26.7,30,116.4,-116.4,-0.24,0.86,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.25,2.0,0.14,26.7,30,117.2,-117.2,-0.23,0.94,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.25,2.5,0.15,26.7,30,118.0,-118.0,-0.22,1.02,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.25,3.0,0.17,26.7,30,118.9,-118.9,-0.2,1.1,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.25,4.0,0.19,26.7,30,120.8,-120.8,-0.18,1.26,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.25,5.0,0.21,26.7,30,122.4,-122.9,-0.15,1.42,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.5,2.0,0.15,58.6,29,96.1,-95.0,-0.22,0.85,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.5,2.5,0.16,58.6,29,96.1,-94.8,-0.2,0.92,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.5,3.0,0.18,58.6,29,96.0,-94.6,-0.19,0.99,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.5,4.0,0.21,58.6,29,95.8,-94.1,-0.17,1.13,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,1.5,5.0,0.24,58.6,29,95.8,-93.6,-0.14,1.27,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,2.0,2.5,0.25,60.7,28,73.8,-67.8,-0.21,0.82,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,2.0,3.0,0.27,60.7,28,73.4,-67.0,-0.2,0.88,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,2.0,4.0,0.31,60.7,28,72.5,-64.8,-0.18,1.01,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,2.0,5.0,0.35,60.7,28,72.4,-62.2,-0.15,1.13,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,2.5,3.0,0.32,60.7,28,59.9,-51.7,-0.2,0.77,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,2.5,4.0,0.37,60.7,28,58.9,-49.1,-0.18,0.87,0.0,False,max_dd>=25.0
Mean Rev,ORCA,1H,2.5,5.0,0.42,60.7,28,58.3,-46.2,-0.15,0.97,0.0,False,max_dd>=25.0
Mean Rev,RENDER,1H,1.0,1.5,1.95,72.6,62,24.5,81.1,0.73,1.2,1.95,True,
Mean Rev,RENDER,1H,1.0,2.0,2.24,72.6,62,22.9,112.2,0.86,1.33,2.24,True,
Mean Rev,RENDER,1H,1.0,2.5,2.57,73.8,61,21.4,146.9,0.97,1.42,2.57,True,
Mean Rev,RENDER,1H,1.0,3.0,2.75,73.8,61,19.8,167.9,1.01,1.49,2.75,True,
Mean Rev,RENDER,1H,1.0,4.0,3.08,73.8,61,17.3,219.1,1.07,1.64,3.08,True,
Mean Rev,RENDER,1H,1.0,5.0,3.33,73.8,61,15.6,260.0,1.08,1.74,3.33,True,
Mean Rev,RENDER,1H,1.25,1.5,2.23,77.4,62,19.3,81.5,0.84,1.1,2.23,True,
Mean Rev,RENDER,1H,1.25,2.0,2.46,77.0,61,18.7,102.0,0.93,1.2,2.46,True,
Mean Rev,RENDER,1H,1.25,2.5,2.87,78.3,60,18.0,132.8,1.06,1.28,2.87,True,
Mean Rev,RENDER,1H,1.25,3.0,3.08,78.3,60,17.3,152.2,1.1,1.35,3.08,True,
Mean Rev,RENDER,1H,1.25,4.0,3.39,78.3,60,16.0,187.4,1.15,1.46,3.39,True,
Mean Rev,RENDER,1H,1.25,5.0,3.64,78.3,60,14.7,217.1,1.16,1.54,3.64,True,
Mean Rev,RENDER,1H,1.5,2.0,2.52,80.0,60,17.7,82.3,0.92,1.08,2.52,True,
Mean Rev,RENDER,1H,1.5,2.5,2.78,79.7,59,17.1,103.0,1.01,1.17,2.78,True,
Mean Rev,RENDER,1H,1.5,3.0,3.02,79.7,59,16.6,120.0,1.07,1.24,3.02,True,
Mean Rev,RENDER,1H,1.5,4.0,3.35,79.7,59,15.4,148.5,1.13,1.34,3.35,True,
Mean Rev,RENDER,1H,1.5,5.0,3.62,79.7,59,14.3,173.3,1.15,1.42,3.62,True,
Mean Rev,RENDER,1H,2.0,2.5,3.49,82.8,58,9.8,92.4,1.13,0.98,3.49,True,
Mean Rev,RENDER,1H,2.0,3.0,3.77,82.8,58,8.8,105.5,1.19,1.04,3.77,True,
Mean Rev,RENDER,1H,2.0,4.0,4.25,82.8,58,7.8,130.1,1.25,1.13,4.25,True,
Mean Rev,RENDER,1H,2.0,5.0,4.57,82.8,58,7.5,147.9,1.27,1.2,4.57,True,
Mean Rev,RENDER,1H,2.5,3.0,3.3,82.8,58,8.5,72.5,1.06,0.89,3.3,True,
Mean Rev,RENDER,1H,2.5,4.0,3.73,82.8,58,7.4,90.5,1.14,0.98,3.73,True,
Mean Rev,RENDER,1H,2.5,5.0,4.02,82.8,58,6.8,103.8,1.18,1.04,4.02,True,
Mean Rev,JUP,1H,1.0,1.5,1.1,70.3,74,39.4,11.4,0.14,1.16,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.0,2.0,1.37,70.3,74,35.9,48.5,0.36,1.37,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.0,2.5,1.65,70.3,74,33.4,100.2,0.56,1.57,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.0,3.0,1.93,70.3,74,30.7,167.7,0.73,1.77,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.0,4.0,2.5,70.3,74,25.2,357.7,0.96,2.13,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.0,5.0,3.05,70.3,74,20.9,608.5,1.08,2.43,3.05,True,
Mean Rev,JUP,1H,1.25,1.5,1.15,69.9,73,32.8,14.1,0.17,1.01,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.25,2.0,1.42,69.9,73,29.3,43.8,0.38,1.19,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.25,2.5,1.71,71.2,73,27.0,82.8,0.57,1.35,0.0,False,max_dd>=25.0
Mean Rev,JUP,1H,1.25,3.0,1.99,71.2,73,24.7,131.1,0.74,1.51,1.99,True,
Mean Rev,JUP,1H,1.25,4.0,2.56,71.2,73,19.8,256.5,0.96,1.81,2.56,True,
Mean Rev,JUP,1H,1.25,5.0,3.1,71.2,73,17.5,408.2,1.09,2.05,3.1,True,
Mean Rev,JUP,1H,1.5,2.0,1.44,70.4,71,22.5,36.6,0.37,1.06,1.44,True,
Mean Rev,JUP,1H,1.5,2.5,1.73,71.8,71,20.4,66.9,0.56,1.2,1.73,True,
Mean Rev,JUP,1H,1.5,3.0,2.03,71.8,71,18.2,103.0,0.72,1.34,2.03,True,
Mean Rev,JUP,1H,1.5,4.0,2.64,71.8,71,15.3,191.8,0.95,1.59,2.64,True,
Mean Rev,JUP,1H,1.5,5.0,3.22,71.8,71,15.3,292.7,1.08,1.8,3.22,True,
Mean Rev,JUP,1H,2.0,2.5,1.71,71.4,70,16.9,49.8,0.55,1.01,1.71,True,
Mean Rev,JUP,1H,2.0,3.0,2.0,71.4,70,15.3,74.6,0.71,1.11,2.0,True,
Mean Rev,JUP,1H,2.0,4.0,2.55,72.9,70,12.4,132.0,0.94,1.31,2.55,True,
Mean Rev,JUP,1H,2.0,5.0,3.06,72.9,70,12.4,193.5,1.08,1.48,3.06,True,
Mean Rev,JUP,1H,2.5,3.0,1.84,71.0,69,13.3,51.0,0.61,0.95,1.84,True,
Mean Rev,JUP,1H,2.5,4.0,2.31,72.5,69,11.1,88.3,0.84,1.11,2.31,True,
Mean Rev,JUP,1H,2.5,5.0,2.72,72.5,69,11.1,125.8,0.98,1.24,2.72,True,
Mean Rev,PENGU,1H,1.0,1.5,1.9,74.4,43,10.4,40.1,0.56,1.24,1.9,True,
Mean Rev,PENGU,1H,1.0,2.0,2.19,76.2,42,11.7,55.4,0.68,1.39,2.19,True,
Mean Rev,PENGU,1H,1.0,2.5,2.43,76.2,42,9.8,72.3,0.77,1.52,2.43,True,
Mean Rev,PENGU,1H,1.0,3.0,2.69,76.2,42,8.0,92.1,0.85,1.65,2.69,True,
Mean Rev,PENGU,1H,1.0,4.0,2.94,73.8,42,7.4,111.2,0.86,1.76,2.94,True,
Mean Rev,PENGU,1H,1.0,5.0,3.07,73.8,42,7.4,126.2,0.87,1.85,3.07,True,
Mean Rev,PENGU,1H,1.25,1.5,1.98,76.7,43,10.5,34.5,0.57,1.11,1.98,True,
Mean Rev,PENGU,1H,1.25,2.0,2.33,78.6,42,11.6,48.9,0.71,1.25,2.33,True,
Mean Rev,PENGU,1H,1.25,2.5,2.58,78.6,42,10.1,61.1,0.79,1.35,2.58,True,
Mean Rev,PENGU,1H,1.25,3.0,2.88,78.6,42,8.6,77.3,0.87,1.46,2.88,True,
Mean Rev,PENGU,1H,1.25,4.0,3.18,76.2,42,6.7,92.9,0.88,1.57,3.18,True,
Mean Rev,PENGU,1H,1.25,5.0,3.32,76.2,42,6.7,104.0,0.9,1.63,3.32,True,
Mean Rev,PENGU,1H,1.5,2.0,2.21,78.6,42,11.5,40.0,0.66,1.12,2.21,True,
Mean Rev,PENGU,1H,1.5,2.5,2.43,78.6,42,10.2,49.5,0.74,1.2,2.43,True,
Mean Rev,PENGU,1H,1.5,3.0,2.7,78.6,42,9.0,62.0,0.82,1.29,2.7,True,
Mean Rev,PENGU,1H,1.5,4.0,2.97,76.2,42,6.6,73.9,0.85,1.38,2.97,True,
Mean Rev,PENGU,1H,1.5,5.0,3.1,76.2,42,6.3,82.3,0.87,1.44,3.1,True,
Mean Rev,PENGU,1H,2.0,2.5,2.75,82.9,41,7.5,41.8,0.79,1.01,2.75,True,
Mean Rev,PENGU,1H,2.0,3.0,3.1,82.9,41,6.6,52.1,0.88,1.09,3.1,True,
Mean Rev,PENGU,1H,2.0,4.0,3.5,80.5,41,5.7,63.9,0.92,1.18,3.5,True,
Mean Rev,PENGU,1H,2.0,5.0,3.67,80.5,41,5.1,70.7,0.94,1.23,3.67,True,
Mean Rev,PENGU,1H,2.5,3.0,3.45,85.4,41,6.7,46.2,0.92,0.95,3.45,True,
Mean Rev,PENGU,1H,2.5,4.0,3.87,82.9,41,5.6,55.2,0.96,1.02,3.87,True,
Mean Rev,PENGU,1H,2.5,5.0,4.06,82.9,41,4.9,60.3,0.98,1.06,4.06,True,
Mean Rev,FARTCOIN,1H,1.0,1.5,0.94,58.6,58,26.3,-4.9,0.01,0.84,0.0,False,max_dd>=25.0
Mean Rev,FARTCOIN,1H,1.0,2.0,1.09,58.6,58,24.8,8.4,0.12,0.95,1.09,True,
Mean Rev,FARTCOIN,1H,1.0,2.5,1.24,58.6,58,23.2,23.6,0.22,1.06,1.24,True,
Mean Rev,FARTCOIN,1H,1.0,3.0,1.38,58.6,58,21.7,41.0,0.31,1.17,1.38,True,
Mean Rev,FARTCOIN,1H,1.0,4.0,1.64,58.6,58,18.5,82.0,0.47,1.39,1.64,True,
Mean Rev,FARTCOIN,1H,1.0,5.0,1.89,58.6,58,18.2,132.3,0.58,1.6,1.89,True,
Mean Rev,FARTCOIN,1H,1.25,1.5,0.97,57.9,57,22.7,-2.1,0.02,0.75,0.0,False,unprofitable
Mean Rev,FARTCOIN,1H,1.25,2.0,1.12,57.9,57,21.5,8.9,0.13,0.84,1.12,True,
Mean Rev,FARTCOIN,1H,1.25,2.5,1.26,59.6,57,20.2,21.1,0.23,0.93,1.26,True,
Mean Rev,FARTCOIN,1H,1.25,3.0,1.41,59.6,57,18.9,34.7,0.32,1.02,1.41,True,
Mean Rev,FARTCOIN,1H,1.25,4.0,1.68,59.6,57,16.2,65.7,0.47,1.2,1.68,True,
Mean Rev,FARTCOIN,1H,1.25,5.0,1.93,59.6,57,15.4,102.1,0.58,1.37,1.93,True,
