Token,Strategy,TF,PF,WR%,Trades,MaxDD%,NetPft%,Sharpe,AvgRR,Status
SOL,Supertrend,1H,0.90,31.6,19,8.8,-2.0,-0.05,0.00,"FAIL (PF 0.90, 19 trades, NP -2.0%)"
ETH,Supertrend,1H,1.24,36.8,19,15.5,5.6,0.22,0.00,"FAIL (PF 1.24, 19 trades)"
JTO,Supertrend,1H,0.20,27.3,11,67.2,-67.3,-0.60,0.00,"FAIL (PF 0.20, WR 27.3%, 11 trades, DD 67.2%, NP -67.3%)"
WIF,Supertrend,1H,0.38,33.3,24,35.2,-35.5,-0.83,0.00,"FAIL (PF 0.38, 24 trades, DD 35.2%, NP -35.5%)"
BONK,Supertrend,1H,0.43,27.3,22,16.8,-16.8,-0.72,0.00,"FAIL (PF 0.43, WR 27.3%, 22 trades, NP -16.8%)"
ORCA,Supertrend,1H,0.00,8.3,12,74.8,-75.2,-1.15,0.00,"FAIL (PF 0.00, WR 8.3%, 12 trades, DD 74.8%, NP -75.2%)"
RENDER,Supertrend,1H,0.31,28.6,42,48.3,-42.7,-1.34,0.00,"FAIL (PF 0.31, WR 28.6%, DD 48.3%, NP -42.7%)"
PYTH,Supertrend,1H,0.36,22.2,9,20.0,-13.6,-0.73,0.00,"FAIL (PF 0.36, WR 22.2%, 9 trades, NP -13.6%)"
RAY,Supertrend,1H,5.26,60.0,10,8.1,81.5,0.49,0.00,FAIL (10 trades)
SOL,Donchian,1H,0.75,30.8,26,13.4,-6.7,-0.23,0.00,"FAIL (PF 0.75, 26 trades, NP -6.7%)"
ETH,Donchian,1H,0.74,27.6,29,12.7,-7.9,-0.30,0.00,"FAIL (PF 0.74, WR 27.6%, 29 trades, NP -7.9%)"
JTO,Donchian,1H,0.18,25.0,12,71.3,-71.5,-0.68,0.00,"FAIL (PF 0.18, WR 25.0%, 12 trades, DD 71.3%, NP -71.5%)"
WIF,Donchian,1H,0.42,34.8,23,32.1,-32.4,-0.74,0.00,"FAIL (PF 0.42, 23 trades, NP -32.4%)"
BONK,Donchian,1H,0.82,35.7,28,17.3,-7.3,-0.19,0.00,"FAIL (PF 0.82, 28 trades, NP -7.3%)"
ORCA,Donchian,1H,0.00,7.7,13,77.6,-77.6,-1.22,0.00,"FAIL (PF 0.00, WR 7.7%, 13 trades, DD 77.6%, NP -77.6%)"
RENDER,Donchian,1H,0.35,23.5,34,37.0,-37.0,-1.20,0.00,"FAIL (PF 0.35, WR 23.5%, DD 37.0%, NP -37.0%)"
PYTH,Donchian,1H,0.31,42.9,7,12.4,-12.4,-0.40,0.00,"FAIL (PF 0.31, 7 trades, NP -12.4%)"
RAY,Donchian,1H,0.73,28.6,7,10.8,-4.5,-0.08,0.00,"FAIL (PF 0.73, WR 28.6%, 7 trades, NP -4.5%)"
SOL,EMA Ribbon,1H,0.41,17.9,67,36.4,-34.6,-1.42,0.00,"FAIL (PF 0.41, WR 17.9%, DD 36.4%, NP -34.6%)"
ETH,EMA Ribbon,1H,0.40,21.1,71,33.8,-34.1,-1.30,0.00,"FAIL (PF 0.40, WR 21.1%, NP -34.1%)"
JTO,EMA Ribbon,1H,0.15,27.3,11,63.8,-60.6,-0.66,0.00,"FAIL (PF 0.15, WR 27.3%, 11 trades, DD 63.8%, NP -60.6%)"
WIF,EMA Ribbon,1H,0.41,38.1,21,29.7,-29.3,-0.72,0.00,"FAIL (PF 0.41, 21 trades, NP -29.3%)"
BONK,EMA Ribbon,1H,0.37,23.4,64,39.5,-39.5,-1.58,0.00,"FAIL (PF 0.37, WR 23.4%, DD 39.5%, NP -39.5%)"
ORCA,EMA Ribbon,1H,0.00,8.3,12,77.9,-78.0,-1.22,0.00,"FAIL (PF 0.00, WR 8.3%, 12 trades, DD 77.9%, NP -78.0%)"
RENDER,EMA Ribbon,1H,0.34,16.4,73,58.3,-58.1,-1.47,0.00,"FAIL (PF 0.34, WR 16.4%, DD 58.3%, NP -58.1%)"
PYTH,EMA Ribbon,1H,0.96,25.0,128,22.0,-5.2,0.02,0.00,"FAIL (PF 0.96, WR 25.0%, NP -5.2%)"
RAY,EMA Ribbon,1H,0.70,26.6,139,58.8,-47.6,-0.44,0.00,"FAIL (PF 0.70, WR 26.6%, DD 58.8%, NP -47.6%)"
SOL,VWAP Dev,1H,0.34,42.9,35,17.5,-18.7,-0.86,0.00,"FAIL (PF 0.34, NP -18.7%)"
ETH,VWAP Dev,1H,0.38,43.2,37,21.7,-17.5,-0.72,0.00,"FAIL (PF 0.38, NP -17.5%)"
JTO,VWAP Dev,1H,0.69,33.3,3,8.1,-2.6,-0.11,0.00,"FAIL (PF 0.69, 3 trades, NP -2.6%)"
WIF,VWAP Dev,1H,0.54,14.3,14,9.8,-4.5,-0.33,0.00,"FAIL (PF 0.54, WR 14.3%, 14 trades, NP -4.5%)"
BONK,VWAP Dev,1H,0.43,42.1,38,29.2,-23.2,-0.82,0.00,"FAIL (PF 0.43, NP -23.2%)"
ORCA,VWAP Dev,1H,19.88,57.1,7,1.6,58.8,0.56,0.00,FAIL (7 trades)
RENDER,VWAP Dev,1H,2.14,75.8,33,8.9,20.5,0.77,0.00,PASS
PYTH,VWAP Dev,1H,0.52,57.4,68,42.6,-39.1,-0.57,0.00,"FAIL (PF 0.52, DD 42.6%, NP -39.1%)"
RAY,VWAP Dev,1H,0.74,56.8,74,31.0,-24.9,-0.21,0.00,"FAIL (PF 0.74, NP -24.9%)"
SOL,Stoch RSI,1H,0.48,44.4,36,27.3,-20.9,-0.63,0.00,"FAIL (PF 0.48, NP -20.9%)"
ETH,Stoch RSI,1H,0.53,45.5,33,24.5,-17.6,-0.53,0.00,"FAIL (PF 0.53, NP -17.6%)"
JTO,Stoch RSI,1H,140.18,50.0,2,0.4,62.6,-0.50,0.00,FAIL (2 trades)
WIF,Stoch RSI,1H,2.92,66.7,6,3.1,11.6,0.75,0.00,FAIL (6 trades)
BONK,Stoch RSI,1H,0.86,48.4,31,28.9,-5.4,-0.09,0.00,"FAIL (PF 0.86, NP -5.4%)"
ORCA,Stoch RSI,1H,0.00,0.0,3,0.9,-2.4,-0.71,0.00,"FAIL (PF 0.00, WR 0.0%, 3 trades, NP -2.4%)"
