Token,Strategy,TF,PF,WR%,Trades,MaxDD%,NetPft%,Status
SOL,Supertrend,1H,0.64,33.3,24,18.4,-11.9,"FAIL (PF 0.64, 24 trades, NP -11.9%)"
ETH,Supertrend,1H,1.15,45.9,37,20.3,10.2,FAIL (PF 1.15)
JTO,Supertrend,1H,0.05,18.8,16,89.9,-86.1,"FAIL (PF 0.05, WR 18.8%, 16 trades, DD 89.9%, NP -86.1%)"
WIF,Supertrend,1H,0.28,27.3,55,73.3,-73.5,"FAIL (PF 0.28, WR 27.3%, DD 73.3%, NP -73.5%)"
BONK,Supertrend,1H,0.42,24.1,54,43.3,-43.3,"FAIL (PF 0.42, WR 24.1%, DD 43.3%, NP -43.3%)"
ORCA,Supertrend,1H,0.00,7.7,26,98.1,-98.1,"FAIL (PF 0.00, WR 7.7%, 26 trades, DD 98.1%, NP -98.1%)"
RENDER,Supertrend,1H,0.23,22.9,83,77.8,-75.9,"FAIL (PF 0.23, WR 22.9%, DD 77.8%, NP -75.9%)"
PYTH,Supertrend,1H,0.32,22.2,9,20.0,-14.4,"FAIL (PF 0.32, WR 22.2%, 9 trades, NP -14.4%)"
RAY,Supertrend,1H,5.20,54.5,11,8.1,85.3,FAIL (11 trades)
W,Supertrend,1H,1.78,45.5,11,9.6,18.0,FAIL (11 trades)
